pkg_name,year,downloads
numpy,2023,46315203
scikit-learn,2023,15485322
pytorch,2023,11001560
cuml,2023,171191
numpy,2024,53147898
scikit-learn,2024,19750039
pytorch,2024,11969746
cuml,2024,336401
numpy,2025,76046926
scikit-learn,2025,23826374
pytorch,2025,11595039
cuml,2025,145292
